sample-id	mmm.m	mmm.sd	plot	tag	species	treatment	nutrient	time	time.trt	time.trt.sp	combo	indiv	seq_depth	bleaching	per_bleach
Jan2016.poc1	28.70592	0.037590634	17	1	POC	C	control	T0	T0_C	T0_C_POC	POC_U_T0	POC_1	27	0	0
March2016.poc1	29.26056129	0.094100803	17	1	POC	U	nutrient	T1	T1_U	T1_U_POC	POC_U_T3	POC_1	2317	0	0
May2016.1poc	28.5366871	0.031250527	17	1	POC	U	nutrient	T2	T2_U	T2_U_POC	POC_U_T6	POC_1	849	0	0
July2016.poc1	27.05674516	0.02117185	17	1	POC	U	nutrient	T3	T3_U	T3_U_POC	POC_U_T9	POC_1	4741	0	0
Jan2016.acr2	28.70592	0.037590634	17	2	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_U_T0	ACR_2	2219	0	0
March2016.acr2	29.26056129	0.094100803	17	2	ACR	U	nutrient	T1	T1_U	T1_U_ACR	ACR_U_T3	ACR_2	8821	0	0
May2016.2acr	28.5366871	0.031250527	17	2	ACR	U	nutrient	T2	T2_U	T2_U_ACR	ACR_U_T6	ACR_2	4155	1	10
July2016.acr2	27.05674516	0.02117185	17	2	ACR	U	nutrient	T3	T3_U	T3_U_ACR	ACR_U_T9	ACR_2	1163	0	0
Jan2016.poc17	28.70592	0.037590634	14	17	POC	C	control	T0	T0_C	T0_C_POC	POC_U_T0	POC_17	163	0	0
March2016.poc17	29.26056129	0.094100803	14	17	POC	U	nutrient	T1	T1_U	T1_U_POC	POC_U_T3	POC_17	662	0	0
May2016.17poc	28.5366871	0.031250527	14	17	POC	U	nutrient	T2	T2_U	T2_U_POC	POC_U_T6	POC_17	935	0	0
July2016.poc17	27.05674516	0.02117185	14	17	POC	U	nutrient	T3	T3_U	T3_U_POC	POC_U_T9	POC_17	443	0	0
Jan2017.poc17	29.10646774	0.064776697	14	17	POC	U	nutrient	T6	T6_U	T6_U_POC	POC_U_T12	POC_17	3554	0	0
Jan2016.acr18	28.70592	0.037590634	14	18	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_U_T0	ACR_18	396	0	0
March2016.acr18	29.26056129	0.094100803	14	18	ACR	U	nutrient	T1	T1_U	T1_U_ACR	ACR_U_T3	ACR_18	1220	0	0
May2016.18acr	28.5366871	0.031250527	14	18	ACR	U	nutrient	T2	T2_U	T2_U_ACR	ACR_U_T6	ACR_18	1467	1	30
July2016.acr18	27.05674516	0.02117185	14	18	ACR	U	nutrient	T3	T3_U	T3_U_ACR	ACR_U_T9	ACR_18	228	0	0
Jan2017.acr18	29.10646774	0.064776697	14	18	ACR	U	nutrient	T6	T6_U	T6_U_ACR	ACR_U_T12	ACR_18	9287	0	0
Jan2016.acr30	28.70592	0.037590634	12	30	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_N_T0	ACR_30	1139	0	0
March2016.acr30	29.26056129	0.094100803	12	30	ACR	N	nutrient	T1	T1_N	T1_N_ACR	ACR_N_T3	ACR_30	13211	0	0
May2016.30acr	28.5366871	0.031250527	12	30	ACR	N	nutrient	T2	T2_N	T2_N_ACR	ACR_N_T6	ACR_30	1297	0	0
July2016.acr30	27.05674516	0.02117185	12	30	ACR	N	nutrient	T3	T3_N	T3_N_ACR	ACR_N_T9	ACR_30	3056	0	0
Jan2017.acr30	29.10646774	0.064776697	12	30	ACR	N	nutrient	T6	T6_N	T6_N_ACR	ACR_N_T12	ACR_30	4445	0	0
March2016.acr35	29.26056129	0.094100803	NA	35	ACR	NA	nutrient	T1	T1_NA	T1_NA_ACR	NA	ACR_35	1740	0	0
Jan2016.acr36	28.70592	0.037590634	11	36	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_U_T0	ACR_36	2	0	0
March2016.acr36	29.26056129	0.094100803	11	36	ACR	U	nutrient	T1	T1_U	T1_U_ACR	ACR_U_T3	ACR_36	1653	0	0
May2016.36acr	28.5366871	0.031250527	11	36	ACR	U	nutrient	T2	T2_U	T2_U_ACR	ACR_U_T6	ACR_36	4509	0	0
July2016.acr36	27.05674516	0.02117185	11	36	ACR	U	nutrient	T3	T3_U	T3_U_ACR	ACR_U_T9	ACR_36	805	0	0
Jan2017.acr36	29.10646774	0.064776697	11	36	ACR	U	nutrient	T6	T6_U	T6_U_ACR	ACR_U_T12	ACR_36	7956	0	0
Jan2016.poc43	28.70592	0.037590634	4H	43	POC	C	control	T0	T0_C	T0_C_POC	POC_C_T0	POC_43	458	0	0
March2016.poc43	29.26056129	0.094100803	4H	43	POC	C	control	T1	T1_C	T1_C_POC	POC_C_T3	POC_43	1065	0	0
May2016.43poc	28.5366871	0.031250527	4H	43	POC	C	control	T2	T2_C	T2_C_POC	POC_C_T6	POC_43	39	0	0
July2016.poc43	27.05674516	0.02117185	4H	43	POC	C	control	T3	T3_C	T3_C_POC	POC_C_T9	POC_43	1287	0	0
Jan2017.poc43	29.10646774	0.064776697	4H	43	POC	C	control	T6	T6_C	T6_C_POC	POC_C_T12	POC_43	5405	0	0
March2016.acr44	29.26056129	0.094100803	4H	44	ACR	C	control	T1	T1_C	T1_C_ACR	ACR_C_T3	ACR_44	2467	0	0
May2016.44acr	28.5366871	0.031250527	4H	44	ACR	C	control	T2	T2_C	T2_C_ACR	ACR_C_T6	ACR_44	4415	0	0
July2016.acr44	27.05674516	0.02117185	4H	44	ACR	C	control	T3	T3_C	T3_C_ACR	ACR_C_T9	ACR_44	1362	0	0
Jan2017.acr44	29.10646774	0.064776697	4H	44	ACR	C	control	T6	T6_C	T6_C_ACR	ACR_C_T12	ACR_44	3717	0	0
Jan2016.poc55	28.70592	0.037590634	4H	55	POC	C	control	T0	T0_C	T0_C_POC	POC_C_T0	POC_55	39	0	0
March2016.poc55	29.26056129	0.094100803	4H	55	POC	C	control	T1	T1_C	T1_C_POC	POC_C_T3	POC_55	6387	0	0
May2016.55poc	28.5366871	0.031250527	4H	55	POC	C	control	T2	T2_C	T2_C_POC	POC_C_T6	POC_55	37	0	0
July2016.poc55	27.05674516	0.02117185	4H	55	POC	C	control	T3	T3_C	T3_C_POC	POC_C_T9	POC_55	2406	0	0
Jan2016.acr56	28.70592	0.037590634	4H	56	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_C_T0	ACR_56	7527	0	0
March2016.acr56	29.26056129	0.094100803	4H	56	ACR	C	control	T1	T1_C	T1_C_ACR	ACR_C_T3	ACR_56	3556	0	0
May2016.56acr	28.5366871	0.031250527	4H	56	ACR	C	control	T2	T2_C	T2_C_ACR	ACR_C_T6	ACR_56	4226	0	0
July2016.acr56	27.05674516	0.02117185	4H	56	ACR	C	control	T3	T3_C	T3_C_ACR	ACR_C_T9	ACR_56	1277	0	0
Jan2016.poc59	28.70592	0.037590634	10	59	POC	C	control	T0	T0_C	T0_C_POC	POC_N_T0	POC_59	22	0	0
March2016.poc59	29.26056129	0.094100803	10	59	POC	N	nutrient	T1	T1_N	T1_N_POC	POC_N_T3	POC_59	685	0	0
May2016.59poc	28.5366871	0.031250527	10	59	POC	N	nutrient	T2	T2_N	T2_N_POC	POC_N_T6	POC_59	96	0	0
July2016.poc59	27.05674516	0.02117185	10	59	POC	N	nutrient	T3	T3_N	T3_N_POC	POC_N_T9	POC_59	666	0	0
Jan2017.poc59	29.10646774	0.064776697	10	59	POC	N	nutrient	T6	T6_N	T6_N_POC	POC_N_T12	POC_59	4269	0	0
March2016.acr60	29.26056129	0.094100803	10	60	ACR	N	nutrient	T1	T1_N	T1_N_ACR	ACR_N_T3	ACR_60	6509	0	0
May2016.60acr	28.5366871	0.031250527	10	60	ACR	N	nutrient	T2	T2_N	T2_N_ACR	ACR_N_T6	ACR_60	4633	0	0
July2016.acr60	27.05674516	0.02117185	10	60	ACR	N	nutrient	T3	T3_N	T3_N_ACR	ACR_N_T9	ACR_60	222	0	0
Jan2017.acr60	29.10646774	0.064776697	10	60	ACR	N	nutrient	T6	T6_N	T6_N_ACR	ACR_N_T12	ACR_60	8660	0	0
Jan2016.acr62	28.70592	0.037590634	10	62	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_U_T0	ACR_62	10270	0	0
March2016.acr62	29.26056129	0.094100803	10	62	ACR	U	nutrient	T1	T1_U	T1_U_ACR	ACR_U_T3	ACR_62	4874	0	0
May2016.62acr	28.5366871	0.031250527	10	62	ACR	U	nutrient	T2	T2_U	T2_U_ACR	ACR_U_T6	ACR_62	5214	1	14
July2016.acr62	27.05674516	0.02117185	10	62	ACR	U	nutrient	T3	T3_U	T3_U_ACR	ACR_U_T9	ACR_62	5024	0	0
Jan2017.acr62	29.10646774	0.064776697	10	62	ACR	U	nutrient	T6	T6_U	T6_U_ACR	ACR_U_T12	ACR_62	9246	0	0
Jan2016.acr64	28.70592	0.037590634	2H	64	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_C_T0	ACR_64	381	0	0
March2016.acr64	29.26056129	0.094100803	2H	64	ACR	C	control	T1	T1_C	T1_C_ACR	ACR_C_T3	ACR_64	11658	0	0
May2016.64acr	28.5366871	0.031250527	2H	64	ACR	C	control	T2	T2_C	T2_C_ACR	ACR_C_T6	ACR_64	2727	1	45
July2016.acr64	27.05674516	0.02117185	2H	64	ACR	C	control	T3	T3_C	T3_C_ACR	ACR_C_T9	ACR_64	1724	0	0
Jan2017.acr64	29.10646774	0.064776697	2H	64	ACR	C	control	T6	T6_C	T6_C_ACR	ACR_C_T12	ACR_64	13391	0	0
Jan2016.acr66	28.70592	0.037590634	2H	66	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_C_T0	ACR_66	366	0	0
March2016.acr66	29.26056129	0.094100803	2H	66	ACR	C	control	T1	T1_C	T1_C_ACR	ACR_C_T3	ACR_66	2863	0	0
May2016.66acr	28.5366871	0.031250527	2H	66	ACR	C	control	T2	T2_C	T2_C_ACR	ACR_C_T6	ACR_66	844	1	50
July2016.acr66	27.05674516	0.02117185	2H	66	ACR	C	control	T3	T3_C	T3_C_ACR	ACR_C_T9	ACR_66	1154	0	0
Jan2017.acr66	29.10646774	0.064776697	2H	66	ACR	C	control	T6	T6_C	T6_C_ACR	ACR_C_T12	ACR_66	7691	0	0
Jan2016.poc67	28.70592	0.037590634	2H	67	POC	C	control	T0	T0_C	T0_C_POC	POC_C_T0	POC_67	28	0	0
March2016.poc67	29.26056129	0.094100803	2H	67	POC	C	control	T1	T1_C	T1_C_POC	POC_C_T3	POC_67	2031	0	0
